symbol,market,asset_type,trade_date,open,high,low,close,prev_close,volume,amount,pct_change,ret_1d,log_ret_1d,quality_flag,ingest_time,data_version
3690.HK,HK,equity,2025-01-23,153.7,155.7,150.0,151.1,152.5,25525543.0,3879430886.76,-0.009180327868852478,-0.009180327868852478,-0.009222726768772447,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-24,153.3,153.7,149.0,150.0,151.1,39355209.0,5943655544.96,-0.007279947054930513,-0.007279947054930513,-0.007306575182438139,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-27,151.8,155.3,149.3,149.7,150.0,37485511.0,5685904600.05,-0.002000000000000113,-0.002000000000000113,-0.0020020026706731903,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-28,151.8,152.4,146.8,148.2,149.7,16691789.0,2490598983.3,-0.01002004008016033,-0.01002004008016033,-0.01007057856359617,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-03,148.2,148.2,140.0,142.3,148.2,42691211.0,6079819589.1,-0.03981106612685548,-0.03981106612685548,-0.0406252077661797,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-04,144.9,151.9,144.2,150.8,142.3,52094377.0,7730114263.002,0.0597329585382993,0.0597329585382993,0.058016950478048945,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-05,154.0,154.2,146.8,150.9,150.8,48027206.0,7248641159.03,0.0006631299734747298,0.0006631299734747298,0.0006629101999474445,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-06,152.8,152.9,146.8,150.1,150.9,35817495.0,5345501267.1,-0.005301524188204176,-0.005301524188204176,-0.005315627134387012,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-07,148.0,155.8,146.0,154.1,150.1,49976855.0,7598158293.8,0.02664890073284476,0.02664890073284476,0.026300003686653788,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-10,155.0,163.3,154.5,162.7,154.1,65305089.0,10493577109.7,0.05580791693705378,0.05580791693705378,0.054306271898921975,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-11,166.2,167.6,161.3,161.8,162.7,56360376.0,9231266082.1,-0.005531653349723276,-0.005531653349723276,-0.005547009600600657,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-12,162.6,162.7,150.2,155.2,161.8,114470084.0,17558341011.5,-0.040791100123609536,-0.040791100123609536,-0.041646396875273085,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-13,155.2,167.5,155.2,159.7,155.2,94924956.0,15360136721.17,0.02899484536082464,0.02899484536082464,0.028582447471848273,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-14,162.0,170.0,161.9,169.9,159.7,75772482.0,12647316682.39,0.0638697557921104,0.0638697557921104,0.061912973456919776,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-17,174.2,179.3,166.1,168.9,169.9,85909353.0,14789129199.28,-0.005885815185403209,-0.005885815185403209,-0.005903204864131982,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-18,170.2,177.0,167.0,172.9,168.9,66733331.0,11444481540.36,0.023682652457075237,0.023682652457075237,0.02340656887549047,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-19,169.6,171.8,166.0,167.7,172.9,46995938.0,7891005062.4,-0.03007518796992492,-0.03007518796992492,-0.030536723860081764,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-20,158.0,160.2,156.1,156.9,167.7,90728227.0,14304964022.4,-0.06440071556350613,-0.06440071556350613,-0.06656800909017611,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-21,158.8,163.2,155.3,162.9,156.9,85995656.0,13768266680.22,0.03824091778202687,0.03824091778202687,0.03752785586901264,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-24,164.7,168.9,160.0,166.5,162.9,62554358.0,10360491958.91,0.022099447513812098,0.022099447513812098,0.021858793812499017,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-25,160.0,163.3,157.2,158.6,166.5,52752020.0,8439533200.75,-0.047447447447447444,-0.047447447447447444,-0.048610000219750905,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-26,161.1,177.0,160.0,174.2,158.6,100972406.0,17210522372.6,0.0983606557377048,0.0983606557377048,0.0938187552176547,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-27,175.1,176.0,167.8,172.8,174.2,62385994.0,10748875378.19,-0.008036739380022806,-0.008036739380022806,-0.008069208048447017,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-02-28,169.8,170.5,160.3,162.0,172.8,64070709.0,10520064732.16,-0.06250000000000011,-0.06250000000000011,-0.06453852113757129,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-03-03,162.8,166.1,160.8,162.6,162.0,36975379.0,6043577521.74,0.0037037037037037646,0.0037037037037037646,0.0036968618813262026,PASS,2026-04-20T12:14:39Z,D20260420.01
